Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities
98,20,RL,73,10921,Pave,NA,Reg,HLS,AllPub
99,30,RL,85,10625,Pave,NA,Reg,Lvl,AllPub
100,20,RL,77,9320,Pave,NA,IR1,Lvl,AllPub
101,20,RL,NA,10603,Pave,NA,IR1,Lvl,AllPub
102,60,RL,77,9206,Pave,NA,Reg,Lvl,AllPub
103,90,RL,64,7018,Pave,NA,Reg,Bnk,AllPub
104,20,RL,94,10402,Pave,NA,IR1,Lvl,AllPub
105,50,RM,NA,7758,Pave,NA,Reg,Lvl,AllPub
106,60,FV,75,9375,Pave,NA,Reg,Lvl,AllPub
107,30,RM,60,10800,Pave,Grvl,Reg,Lvl,AllPub
108,20,RM,50,6000,Pave,NA,Reg,Lvl,AllPub
109,50,RM,85,8500,Pave,NA,Reg,Lvl,AllPub
110,20,RL,105,11751,Pave,NA,IR1,Lvl,AllPub
111,50,RL,75,9525,Pave,NA,Reg,Lvl,AllPub
112,80,RL,NA,7750,Pave,NA,IR1,Lvl,AllPub
113,60,RL,77,9965,Pave,NA,Reg,Lvl,AllPub
114,20,RL,NA,21000,Pave,NA,Reg,Bnk,AllPub
115,70,RL,61,7259,Pave,NA,IR1,Lvl,AllPub
116,160,FV,34,3230,Pave,Pave,Reg,Lvl,AllPub
117,20,RL,NA,11616,Pave,NA,Reg,Lvl,AllPub
118,20,RL,74,8536,Pave,NA,Reg,Lvl,AllPub
119,60,RL,90,12376,Pave,NA,Reg,Lvl,AllPub
120,60,RL,65,8461,Pave,NA,Reg,Lvl,AllPub
121,80,RL,NA,21453,Pave,NA,IR1,Low,AllPub
122,50,RM,50,6060,Pave,NA,Reg,Lvl,AllPub
123,20,RL,75,9464,Pave,NA,Reg,Lvl,AllPub
124,120,RL,55,7892,Pave,NA,Reg,Lvl,AllPub
125,20,RL,48,17043,Pave,NA,IR1,Lvl,AllPub
126,190,RM,60,6780,Pave,NA,Reg,Lvl,AllPub
127,120,RL,NA,4928,Pave,NA,IR1,Lvl,AllPub
128,45,RM,55,4388,Pave,NA,IR1,Bnk,AllPub
129,60,RL,69,7590,Pave,NA,Reg,Lvl,AllPub
130,20,RL,69,8973,Pave,NA,Reg,Lvl,AllPub
131,60,RL,88,14200,Pave,NA,Reg,Lvl,AllPub
132,60,RL,NA,12224,Pave,NA,IR1,Lvl,AllPub
133,20,RL,75,7388,Pave,NA,Reg,Lvl,AllPub
134,20,RL,NA,6853,Pave,NA,IR1,Lvl,AllPub
135,20,RL,78,10335,Pave,NA,IR1,Lvl,AllPub
136,20,RL,80,10400,Pave,NA,Reg,Lvl,AllPub
137,20,RL,NA,10355,Pave,NA,IR1,Lvl,AllPub
138,90,RL,82,11070,Pave,NA,Reg,Lvl,AllPub
139,60,RL,73,9066,Pave,NA,IR1,Lvl,AllPub
140,60,RL,65,15426,Pave,NA,IR1,Lvl,AllPub
141,20,RL,70,10500,Pave,NA,Reg,Lvl,AllPub
142,20,RL,78,11645,Pave,NA,Reg,Lvl,AllPub
143,50,RL,71,8520,Pave,NA,Reg,Lvl,AllPub
144,20,RL,78,10335,Pave,NA,IR1,Lvl,AllPub
145,90,RM,70,9100,Pave,NA,Reg,Lvl,AllPub
146,160,RM,24,2522,Pave,NA,Reg,Lvl,AllPub
147,30,RM,51,6120,Pave,NA,Reg,Lvl,AllPub
148,60,RL,NA,9505,Pave,NA,IR1,Lvl,AllPub
149,20,RL,63,7500,Pave,NA,Reg,Lvl,AllPub
150,50,RM,NA,6240,Pave,NA,Reg,Lvl,AllPub
151,20,RL,120,10356,Pave,NA,Reg,Lvl,AllPub
152,20,RL,107,13891,Pave,NA,Reg,Lvl,AllPub
153,60,RL,NA,14803,Pave,NA,IR1,Lvl,AllPub
154,20,RL,NA,13500,Pave,NA,Reg,Lvl,AllPub
155,30,RM,84,11340,Pave,NA,Reg,Lvl,AllPub
156,50,RL,60,9600,Pave,NA,Reg,Lvl,AllPub
157,20,RL,60,7200,Pave,NA,Reg,Lvl,AllPub
158,60,RL,92,12003,Pave,NA,Reg,Lvl,AllPub
159,60,FV,100,12552,Pave,NA,Reg,Lvl,AllPub
160,60,RL,134,19378,Pave,NA,IR1,HLS,AllPub
161,20,RL,NA,11120,Pave,NA,IR1,Lvl,AllPub
162,60,RL,110,13688,Pave,NA,IR1,Lvl,AllPub
163,20,RL,95,12182,Pave,NA,Reg,Lvl,AllPub
164,45,RL,55,5500,Pave,NA,Reg,Lvl,AllPub
165,40,RM,40,5400,Pave,Pave,Reg,Lvl,AllPub
166,190,RL,62,10106,Pave,NA,Reg,Lvl,AllPub
167,20,RL,NA,10708,Pave,NA,IR1,Lvl,AllPub
168,60,RL,86,10562,Pave,NA,Reg,Lvl,AllPub
169,60,RL,62,8244,Pave,NA,IR1,Lvl,AllPub
170,20,RL,NA,16669,Pave,NA,IR1,Lvl,AllPub
171,50,RM,NA,12358,Pave,NA,IR1,Lvl,AllPub
172,20,RL,141,31770,Pave,NA,IR1,Lvl,AllPub
173,160,RL,44,5306,Pave,NA,IR1,Lvl,AllPub
174,20,RL,80,10197,Pave,NA,IR1,Lvl,AllPub
175,20,RL,47,12416,Pave,NA,IR1,Lvl,AllPub
176,20,RL,84,12615,Pave,NA,Reg,Lvl,AllPub
177,60,RL,97,10029,Pave,NA,IR1,Lvl,AllPub
178,50,RL,NA,13650,Pave,NA,Reg,Lvl,AllPub
179,20,RL,63,17423,Pave,NA,IR1,Lvl,AllPub
180,30,RM,60,8520,Pave,NA,Reg,Lvl,AllPub
181,160,FV,NA,2117,Pave,NA,Reg,Lvl,AllPub
182,70,RL,54,7588,Pave,NA,Reg,Lvl,AllPub
183,20,RL,60,9060,Pave,NA,Reg,Lvl,AllPub
184,50,RM,63,11426,Pave,NA,Reg,Lvl,AllPub
185,50,RL,92,7438,Pave,NA,IR1,Lvl,AllPub
186,75,RM,90,22950,Pave,NA,IR2,Lvl,AllPub
187,80,RL,NA,9947,Pave,NA,IR1,Lvl,AllPub
188,50,RL,60,10410,Pave,NA,Reg,Lvl,AllPub
189,90,RL,64,7018,Pave,NA,Reg,Bnk,AllPub
190,120,RL,41,4923,Pave,NA,Reg,Lvl,AllPub
191,70,RL,70,10570,Pave,NA,Reg,Bnk,AllPub
192,60,RL,NA,7472,Pave,NA,IR1,Lvl,AllPub
193,20,RL,68,9017,Pave,NA,IR1,Lvl,AllPub
194,160,RM,24,2522,Pave,NA,Reg,Lvl,AllPub
195,20,RL,60,7180,Pave,NA,IR1,Lvl,AllPub
196,160,RL,24,2280,Pave,NA,Reg,Lvl,AllPub
197,20,RL,79,9416,Pave,NA,Reg,Lvl,AllPub
198,75,RL,174,25419,Pave,NA,Reg,Lvl,AllPub
199,75,RM,92,5520,Pave,NA,Reg,Lvl,AllPub
200,20,RL,76,9591,Pave,NA,Reg,Lvl,AllPub
201,20,RM,80,8546,Pave,NA,Reg,Lvl,AllPub
202,20,RL,75,10125,Pave,NA,Reg,Lvl,AllPub
203,50,RL,50,7000,Pave,NA,Reg,Lvl,AllPub
204,120,RM,NA,4438,Pave,NA,Reg,Lvl,AllPub
205,50,RM,50,3500,Pave,Grvl,Reg,Lvl,AllPub
206,20,RL,99,11851,Pave,NA,Reg,Lvl,AllPub
207,20,RL,40,13673,Pave,NA,IR1,Lvl,AllPub
208,20,RL,NA,12493,Pave,NA,IR1,Lvl,AllPub
209,60,RL,NA,14364,Pave,NA,IR1,Low,AllPub
210,20,RL,75,8250,Pave,NA,Reg,Lvl,AllPub
211,30,RL,67,5604,Pave,NA,Reg,Lvl,AllPub
212,20,RL,83,10420,Pave,NA,Reg,Lvl,AllPub
213,60,FV,72,8640,Pave,NA,Reg,Lvl,AllPub
214,20,RL,43,13568,Pave,NA,IR2,Lvl,AllPub
215,60,RL,NA,10900,Pave,NA,IR1,Lvl,AllPub
216,20,RL,72,10011,Pave,NA,IR1,Lvl,AllPub
217,20,RL,65,8450,Pave,NA,Reg,Lvl,AllPub
218,70,RM,57,9906,Pave,Grvl,Reg,Lvl,AllPub
219,50,RL,NA,15660,Pave,NA,IR1,Lvl,AllPub
220,120,RL,43,3010,Pave,NA,Reg,Lvl,AllPub
221,20,RL,73,8990,Pave,NA,IR1,Lvl,AllPub
222,60,RL,NA,8068,Pave,NA,IR1,Lvl,AllPub
223,60,RL,85,11475,Pave,NA,Reg,Lvl,AllPub
224,20,RL,70,10500,Pave,NA,Reg,Lvl,AllPub
225,20,RL,103,13472,Pave,NA,Reg,Lvl,AllPub
226,160,RM,21,1680,Pave,NA,Reg,Lvl,AllPub
227,60,RL,82,9950,Pave,NA,IR1,Lvl,AllPub
228,160,RM,21,1869,Pave,NA,Reg,Lvl,AllPub
229,20,RL,70,8521,Pave,NA,Reg,Lvl,AllPub
230,120,RL,43,3182,Pave,NA,Reg,Lvl,AllPub
231,20,RL,73,8760,Pave,NA,Reg,Lvl,AllPub
232,60,RL,174,15138,Pave,NA,IR1,Lvl,AllPub
233,160,RM,21,1680,Pave,NA,Reg,Lvl,AllPub
234,20,RL,75,10650,Pave,NA,Reg,Lvl,AllPub
235,60,RL,NA,7851,Pave,NA,Reg,Lvl,AllPub
236,160,RM,21,1680,Pave,NA,Reg,Lvl,AllPub
237,20,RL,65,8773,Pave,NA,Reg,Lvl,AllPub
238,60,RL,NA,9453,Pave,NA,IR1,Lvl,AllPub
239,20,RL,93,12030,Pave,NA,Reg,Lvl,AllPub
240,50,RL,52,8741,Pave,NA,Reg,Lvl,AllPub
241,20,FV,75,9000,Pave,NA,Reg,Lvl,AllPub
242,30,RM,40,3880,Pave,NA,Reg,Lvl,AllPub
243,50,RM,63,5000,Pave,NA,Reg,Lvl,AllPub
244,160,RL,75,10762,Pave,NA,Reg,Lvl,AllPub
245,60,RL,NA,8880,Pave,NA,IR1,Lvl,AllPub
246,20,RL,80,10400,Pave,NA,Reg,Lvl,AllPub
247,190,RM,69,9142,Pave,Grvl,Reg,Lvl,AllPub
248,20,RL,75,11310,Pave,NA,Reg,Lvl,AllPub
249,60,RL,72,11317,Pave,NA,Reg,Lvl,AllPub
250,50,RL,NA,159000,Pave,NA,IR2,Low,AllPub
251,30,RL,55,5350,Pave,NA,IR1,Lvl,AllPub
252,120,RM,44,4750,Pave,NA,IR1,HLS,AllPub
253,60,RL,65,8366,Pave,NA,IR1,Lvl,AllPub
254,80,RL,85,9350,Pave,NA,Reg,Lvl,AllPub
255,20,RL,70,8400,Pave,NA,Reg,Lvl,AllPub
256,60,RL,66,8738,Pave,NA,IR1,Lvl,AllPub
257,60,FV,64,8791,Pave,NA,IR1,Lvl,AllPub
258,20,RL,68,8814,Pave,NA,Reg,Lvl,AllPub
259,60,RL,80,12435,Pave,NA,Reg,Lvl,AllPub
260,20,RM,70,12702,Pave,NA,Reg,Lvl,AllPub
261,80,RL,120,19296,Pave,NA,Reg,Lvl,AllPub
262,60,RL,69,9588,Pave,NA,IR1,Lvl,AllPub
263,80,RL,88,8471,Pave,NA,IR1,Lvl,AllPub
264,50,RM,50,5500,Pave,NA,Reg,Lvl,AllPub
265,30,RM,30,5232,Pave,Grvl,IR3,Bnk,AllPub
266,20,RL,78,12090,Pave,NA,IR1,Lvl,AllPub
267,60,RL,70,11207,Pave,NA,IR1,HLS,AllPub
268,75,RL,60,8400,Pave,NA,Reg,Bnk,AllPub
269,30,RM,71,6900,Pave,NA,Reg,Lvl,AllPub
270,20,RL,NA,7917,Pave,NA,IR1,Lvl,AllPub
271,60,FV,84,10728,Pave,NA,Reg,Lvl,AllPub
272,20,RL,73,39104,Pave,NA,IR1,Low,AllPub
273,60,RL,92,11764,Pave,NA,IR1,Lvl,AllPub
274,20,RL,80,9600,Pave,NA,Reg,Lvl,AllPub
275,20,RL,76,8314,Pave,NA,Reg,Lvl,AllPub
276,50,RL,55,7264,Pave,NA,Reg,Lvl,AllPub
277,20,RL,129,9196,Pave,NA,IR1,Lvl,AllPub
278,20,RL,140,19138,Pave,NA,Reg,Lvl,AllPub
279,20,RL,107,14450,Pave,NA,Reg,Lvl,AllPub
280,60,RL,83,10005,Pave,NA,Reg,Lvl,AllPub
281,60,RL,82,11287,Pave,NA,Reg,Lvl,AllPub
282,20,FV,60,7200,Pave,Pave,Reg,Lvl,AllPub
283,120,RL,34,5063,Pave,NA,Reg,Lvl,AllPub
284,20,RL,74,9612,Pave,NA,Reg,Lvl,AllPub
285,120,RL,50,8012,Pave,NA,Reg,Lvl,AllPub
286,160,FV,35,4251,Pave,Pave,IR1,Lvl,AllPub
287,50,RL,77,9786,Pave,NA,IR1,Bnk,AllPub
288,20,RL,NA,8125,Pave,NA,IR1,Lvl,AllPub
289,20,RL,NA,9819,Pave,NA,IR1,Lvl,AllPub
290,70,RL,60,8730,Pave,NA,Reg,Lvl,AllPub
291,60,RL,120,15611,Pave,NA,Reg,Lvl,AllPub
292,190,RL,55,5687,Pave,Grvl,Reg,Bnk,AllPub
293,50,RL,60,11409,Pave,NA,Reg,Lvl,AllPub
294,60,RL,NA,16659,Pave,NA,IR1,Lvl,AllPub
295,20,RL,80,9600,Pave,NA,Reg,Lvl,AllPub
296,80,RL,37,7937,Pave,NA,IR1,Lvl,AllPub
297,50,RM,75,13710,Pave,NA,Reg,Lvl,AllPub
298,60,FV,66,7399,Pave,Pave,IR1,Lvl,AllPub
299,60,RL,90,11700,Pave,NA,Reg,Lvl,AllPub
300,20,RL,80,14000,Pave,NA,Reg,Lvl,AllPub
301,190,RL,90,15750,Pave,NA,Reg,Lvl,AllPub
302,60,RL,66,16226,Pave,NA,IR3,Lvl,AllPub
303,20,RL,118,13704,Pave,NA,IR1,Lvl,AllPub
304,20,RL,70,9800,Pave,NA,Reg,Lvl,AllPub
305,75,RM,87,18386,Pave,NA,Reg,Lvl,AllPub
306,20,RL,80,10386,Pave,NA,Reg,Lvl,AllPub
307,60,RL,116,13474,Pave,NA,Reg,Lvl,AllPub
308,50,RM,NA,7920,Pave,Grvl,IR1,Lvl,AllPub
309,30,RL,NA,12342,Pave,NA,IR1,Lvl,AllPub
310,20,RL,90,12378,Pave,NA,IR1,Lvl,AllPub
311,60,RL,NA,7685,Pave,NA,IR1,Lvl,AllPub
312,20,RL,50,8000,Pave,NA,Reg,Lvl,AllPub
313,190,RM,65,7800,Pave,NA,Reg,Lvl,AllPub
314,20,RL,150,215245,Pave,NA,IR3,Low,AllPub
315,70,RM,60,9600,Pave,Grvl,Reg,Lvl,AllPub
316,60,RL,71,7795,Pave,NA,IR1,Lvl,AllPub
317,60,RL,94,13005,Pave,NA,IR1,Lvl,AllPub
318,60,FV,75,9000,Pave,NA,Reg,Lvl,AllPub
319,60,RL,90,9900,Pave,NA,Reg,Low,AllPub
320,80,RL,NA,14115,Pave,NA,Reg,Lvl,AllPub
321,60,RL,111,16259,Pave,NA,Reg,Lvl,AllPub
322,60,RL,99,12099,Pave,NA,IR1,Lvl,AllPub
323,60,RL,86,10380,Pave,NA,IR1,Lvl,AllPub
324,20,RM,49,5820,Pave,NA,Reg,Lvl,AllPub
325,80,RL,96,11275,Pave,NA,Reg,Lvl,AllPub
326,45,RM,50,5000,Pave,NA,Reg,Lvl,AllPub
327,120,RL,32,10846,Pave,NA,IR1,Lvl,AllPub
328,20,RL,80,11600,Pave,NA,Reg,Lvl,AllPub
329,75,RL,NA,11888,Pave,Pave,IR1,Bnk,AllPub
330,70,RM,60,6402,Pave,NA,Reg,Lvl,AllPub
331,90,RL,NA,10624,Pave,NA,IR1,Lvl,AllPub
332,20,RL,70,8176,Pave,NA,Reg,Lvl,AllPub
333,20,RL,85,10655,Pave,NA,IR1,Lvl,AllPub
334,120,RM,59,8198,Pave,NA,Reg,Lvl,AllPub
335,60,RL,59,9042,Pave,NA,IR1,Lvl,AllPub
336,190,RL,NA,164660,Grvl,NA,IR1,HLS,AllPub
337,20,RL,86,14157,Pave,NA,IR1,HLS,AllPub
338,20,RL,70,9135,Pave,NA,Reg,Lvl,AllPub
339,20,RL,91,14145,Pave,NA,Reg,Lvl,AllPub
340,20,RL,66,12400,Pave,NA,IR1,Lvl,AllPub
341,60,RL,85,14191,Pave,NA,Reg,Lvl,AllPub
342,20,RH,60,8400,Pave,NA,Reg,Lvl,AllPub
343,90,RL,NA,8544,Pave,NA,Reg,Lvl,AllPub
344,120,RL,63,8849,Pave,NA,IR1,Lvl,AllPub
345,160,RM,36,2592,Pave,NA,Reg,Lvl,AllPub
346,50,RL,65,6435,Pave,NA,Reg,Lvl,AllPub
347,20,RL,NA,12772,Pave,NA,IR1,Lvl,AllPub
348,20,RL,NA,17600,Pave,NA,IR1,Lvl,AllPub
349,160,RL,36,2448,Pave,NA,Reg,Lvl,AllPub
350,60,RL,56,20431,Pave,NA,IR2,Lvl,AllPub
351,120,RL,68,7820,Pave,NA,IR1,Lvl,AllPub
352,120,RL,NA,5271,Pave,NA,IR1,Low,AllPub
353,50,RL,60,9084,Pave,NA,Reg,Lvl,AllPub
354,30,RM,60,8520,Pave,NA,Reg,Lvl,AllPub
355,50,RL,60,8400,Pave,NA,Reg,Bnk,AllPub
356,20,RL,105,11249,Pave,NA,IR2,Lvl,AllPub
357,20,RL,NA,9248,Pave,NA,IR1,Lvl,AllPub
358,120,RM,44,4224,Pave,NA,Reg,Lvl,AllPub
359,80,RL,92,6930,Pave,NA,IR1,Lvl,AllPub
360,60,RL,78,12011,Pave,NA,IR1,Lvl,AllPub
361,85,RL,NA,7540,Pave,NA,IR1,Lvl,AllPub
362,50,RL,NA,9144,Pave,Pave,Reg,Lvl,AllPub
363,85,RL,64,7301,Pave,NA,Reg,Lvl,AllPub
364,160,RM,21,1680,Pave,NA,Reg,Lvl,AllPub
365,60,RL,NA,18800,Pave,NA,IR1,Lvl,AllPub
366,70,RM,59,10690,Pave,NA,Reg,Lvl,AllPub
367,20,RL,NA,9500,Pave,NA,IR1,Lvl,AllPub
368,80,RL,101,9150,Pave,NA,IR1,Lvl,AllPub
369,20,RL,78,7800,Pave,NA,Reg,Lvl,AllPub
370,20,RL,NA,9830,Pave,NA,IR1,Lvl,AllPub
371,60,RL,NA,8121,Pave,NA,IR1,Lvl,AllPub
372,50,RL,80,17120,Pave,NA,Reg,Lvl,AllPub
373,120,RL,50,7175,Pave,NA,Reg,Lvl,AllPub
374,20,RL,79,10634,Pave,NA,Reg,Lvl,AllPub
375,60,RL,65,8200,Pave,NA,Reg,Lvl,AllPub
376,30,RL,NA,10020,Pave,NA,IR1,Low,AllPub
377,85,RL,57,8846,Pave,NA,IR1,Lvl,AllPub
378,60,FV,102,11143,Pave,NA,IR1,Lvl,AllPub
379,20,RL,88,11394,Pave,NA,Reg,Lvl,AllPub
380,60,RL,60,8123,Pave,NA,IR1,Lvl,AllPub
381,50,RL,50,5000,Pave,Pave,Reg,Lvl,AllPub
382,20,FV,60,7200,Pave,Pave,Reg,Lvl,AllPub
383,60,RL,79,9245,Pave,NA,IR1,Lvl,AllPub
384,45,RH,60,9000,Pave,NA,Reg,Lvl,AllPub
385,60,RL,NA,53107,Pave,NA,IR2,Low,AllPub
386,120,RL,43,3182,Pave,NA,Reg,Lvl,AllPub
387,50,RL,58,8410,Pave,NA,Reg,Lvl,AllPub
388,80,RL,72,7200,Pave,NA,Reg,Lvl,AllPub
389,20,RL,93,9382,Pave,NA,IR1,Lvl,AllPub
390,60,RL,96,12474,Pave,NA,Reg,Lvl,AllPub
391,50,RL,50,8405,Pave,Grvl,Reg,Lvl,AllPub
392,60,RL,71,12209,Pave,NA,IR1,Lvl,AllPub
393,20,RL,NA,8339,Pave,NA,IR1,Lvl,AllPub
394,30,RL,NA,7446,Pave,NA,Reg,Lvl,AllPub
395,50,RL,60,10134,Pave,NA,Reg,Lvl,AllPub
396,20,RL,68,9571,Pave,NA,Reg,Lvl,AllPub
397,20,RL,60,7200,Pave,NA,Reg,Low,AllPub
398,60,RL,69,7590,Pave,NA,Reg,Lvl,AllPub
399,30,RM,60,8967,Pave,NA,Reg,Lvl,AllPub
400,60,FV,65,8125,Pave,NA,Reg,Lvl,AllPub
401,120,RL,38,14963,Pave,NA,IR2,Lvl,AllPub
402,20,RL,65,8767,Pave,NA,IR1,Lvl,AllPub
403,30,RL,60,10200,Pave,NA,Reg,Lvl,AllPub
404,60,RL,93,12090,Pave,NA,Reg,Lvl,AllPub
405,60,RL,NA,10364,Pave,NA,IR1,Lvl,AllPub
406,20,RL,NA,9991,Pave,NA,IR1,Lvl,AllPub
407,50,RL,51,10480,Pave,NA,Reg,Lvl,AllPub
408,70,RL,63,15576,Pave,NA,Reg,Lvl,AllPub
409,60,RL,109,14154,Pave,NA,Reg,Lvl,AllPub
410,60,FV,85,10800,Pave,NA,Reg,Lvl,AllPub
411,20,RL,68,9571,Pave,NA,Reg,Lvl,AllPub
412,190,RL,100,34650,Pave,NA,Reg,Bnk,AllPub
413,20,FV,NA,4403,Pave,NA,IR2,Lvl,AllPub
414,30,RM,56,8960,Pave,Grvl,Reg,Lvl,AllPub
415,60,RL,59,11228,Pave,NA,IR2,Lvl,AllPub
416,20,RL,73,8899,Pave,NA,IR1,Lvl,AllPub
417,60,RL,74,7844,Pave,NA,Reg,Lvl,AllPub
418,70,RL,86,22420,Pave,NA,IR1,Lvl,AllPub
